,time,text,images,video
128,2021-02-19 19:44:00,Got my keys and signed my contract for my new house. They just got the internet installed. Finally getting a Saturday off from work tomorrow... Feeling blessed,None,None
129,2021-02-19 16:28:00,"Paul Smÿth
February 18 at 5:31 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/151425927_434364917990414_8595009435348942407_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=Az8D_OdE54gAX96NwHz&_nc_ht=scontent-lga3-1.xx&tp=14&oh=3adef2963d3baa383986b9d97dc664a6&oe=60B1CF55&manual_redirect=1'],None
130,2021-02-19 10:06:00,"Still funny

Brian Chadwell
February 19, 2019 at 11:14 PM ·

Almost got away with it... Got carried off by a cougar instead...",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/52771849_2514350481911868_3585698965129003008_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=SxqpJ5KwqpAAX8IP4lA&_nc_ht=scontent-lga3-1.xx&tp=14&oh=925b7549e274a2bbb724b2e12fa78643&oe=60B231D0&manual_redirect=1'],None
131,2019-02-19 23:14:00,Almost got away with it... Got carried off by a cougar instead...,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/52771849_2514350481911868_3585698965129003008_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=SxqpJ5KwqpAAX8IP4lA&_nc_ht=scontent-lga3-1.xx&tp=14&oh=925b7549e274a2bbb724b2e12fa78643&oe=60B231D0&manual_redirect=1'],None
132,2021-02-18 22:44:00,"So, I guess there's really only one part that I still question about the Bible. It says God created Eve from a rib bone taken from Adam. That bothers me. Woman is so much more than a spare part from a man. And I think myself that we were created asymmetrical for a reason. To remind us that we are never going to be perfectly balanced. I grew hair under my right arm before my left. Every persons face is different from left to right. We all have a side that is more dominant than the other. We aren't meant to be perfectly balanced. If we were we wouldn't keep trying to learn and work to be better. I don't know. Just in my thoughts I guess. Be thankful and respect who you are. Its okay to work to be better, but don't get lost trying to be perfect. We can only be our best",None,None
133,2021-02-18 17:51:00,Another great day in the books. Another one coming tomorrow. Plus it's Friday and payday all day long. Lovin life,None,None
134,2021-02-17 16:16:00,"I Am the Monster
February 15 at 11:58 PM ·",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/151457483_839002593327980_4981282260132093121_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=tYS9iNBVFhwAX9GJOUq&_nc_ht=scontent-lga3-1.xx&tp=14&oh=03de0605564fc11abff3990c4fd82860&oe=60B1ED14'],None
135,2021-02-16 23:02:00,Im so fucking happy. The girl of my dreams called to talk while she rested in the tub. I keep her awake while she's fighting benadryl and melatonin. I love it. My everything,None,None
136,2021-02-16 21:56:00,I miss Mom and Granny so bad. If you didn't get to know them im sorry. Women like that built better men. I love you both. I will see you soon,None,None
137,2021-02-16 21:02:00,I got called a peckerhead by someone I really respect today. It was an honor. Dont let bullshit names hold you back from being your best. Don't call it %100 when its only 50,None,None
138,2021-02-16 18:17:00,I love you and I think you're amazing. To whomever needs to hear this. You'll shine when the light hits you right. Keep smiling,None,None
139,2021-02-16 14:32:00,Shit's about to get real...,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/151346662_4257605220919710_5985076097433746513_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=mnD7oAQ4kSYAX9Xwriq&_nc_ht=scontent-lga3-1.xx&tp=14&oh=fdf1c02f2d4022315ca5298e4cbb11cd&oe=60B08FEE&manual_redirect=1'],None
140,2021-02-16 14:19:00,"Shoveled my own sidewalk, my neighbors, and helped dig two others out with a broken wrist. Don't allow excuses to keep you from trying to be a better human.",None,None
141,2021-02-16 11:34:00,"Bash Penderhughes
December 29, 2020 at 9:57 AM ·",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/133250842_146518037244459_2082791203721149213_n.mp4?_nc_cat=110&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=UaKVDcNbMewAX_Wivrm&_nc_ht=video-lga3-1.xx&oh=064ce25e549355f886cf064b589177df&oe=608AE6DA
142,2021-02-16 01:02:00,"Peggy Gist Alice Allison Welcher Justina Lomely. Does this not look like one of our lost sisters? I see Alice. Aileen Vandergriff Huffman, Justina, Shirley, Doc(Lester) and me. She's from LaFollette. We should friend her",['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/151253299_4256140921066140_1959871033074155192_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-EmqickQVeMAX-fE_Ak&_nc_ht=scontent-lga3-1.xx&tp=14&oh=a6d26c4818a6f879748b9a8317ca4c26&oe=60B1F00A&manual_redirect=1'],None
143,2021-02-15 22:46:00,"So. Crazy weekend. Came home after work on Friday to find someone had broken in and was sleeping in my extra bedroom. Took me about 15 minutes to wake him up. He woke up trying to tell me this was his house. I Hurt him pretty bad, drug him to the sidewalk and called local law. They arrested me for assault. Went to jail, told them what happened. They dropped charges against me and charged him. Still cost me $400 to get out... then today, I was walking in to work and slipped and fell on the ice. Broken right wrist, six stitches in my head, and back issues. So now I'm stuck on light duty for a while and spent all day at the hospital. Im still smiling. Without the bad we wouldn't appreciate the good. Blessings come in many shades. Be thankful for what you have.",None,None
144,2021-02-15 19:15:00,"So sad... lol

Chad Price is with Shanie Michelle Price.
February 2 at 11:25 PM ·

Sure did love her .. but it came to an end tonight 😞😂",None,https://video-lga3-1.xx.fbcdn.net/v/t42.1790-2/145046304_254582102781263_497242360273305946_n.mp4?_nc_cat=100&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=fjh24J-TIlIAX9O_NSV&_nc_ht=video-lga3-1.xx&oh=345152b81248e57ed289ff90272d44a8&oe=608AE133
145,2021-02-14 12:47:00,Just a Happy Valentines Day to all you single Fulkerson. Enjoy the tranquility,None,None
146,2021-02-14 11:03:00,I figured out how to retrieve all my lost contacts on this new phone. New title. Welder tech wizard.,None,None
147,2021-02-13 23:03:00,None,['https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/150469885_4250503884963177_6579791504156706467_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=zuWPIJzaSSgAX9IEI7t&_nc_ht=scontent-lga3-1.xx&tp=14&oh=b3babaad1f93e4c9bbd482615a6f905b&oe=60AFD38A&manual_redirect=1'],None
148,2021-02-13 22:56:00,Trump... You still have my vote,None,None
149,2021-02-13 22:48:00,Do me a favor. Don't go out making eyes. If you have a gay bestie. I don't do drama,None,None
150,2021-02-13 22:34:00,Amy Allen. Stay away from me. I've moved on,None,None
151,2021-02-13 22:12:00,None,None,None
